iter,target_level,target_L,recipe,X,Y,Z,Lab1,Lab2,Lab3,measured_L,delta
1,0,74.00,"[]",39.461,41.809,34.920,50.000,70.739,-2.649,70.739,-3.261
2,1,72.00,"[(64, 1), (128, 3)]",38.149,40.450,33.981,50.000,69.789,-2.717,69.789,-2.211
3,2,70.00,"[(64, 1), (128, 2)]",35.765,37.961,32.156,50.000,67.992,-2.779,67.992,-2.008
4,3,69.00,"[(64, 32), (128, 24)]",36.707,38.920,32.759,50.000,68.693,-2.677,68.693,-0.307
5,4,68.00,"[(64, 32), (128, 16)]",35.519,37.672,31.850,50.000,67.778,-2.686,67.778,-0.222
6,5,67.00,"[(64, 32), (128, 12)]",34.459,36.561,31.010,50.000,66.946,-2.703,66.946,-0.054
7,6,66.00,"[(64, 32), (128, 10)]",33.550,35.614,30.273,50.000,66.224,-2.737,66.224,+0.224
8,7,65.00,"[(64, 32), (128, 8)]",31.873,33.853,28.887,50.000,64.846,-2.755,64.846,-0.154
9,8,64.00,"[(64, 1), (128, 1)]",32.909,34.955,29.871,50.000,65.714,-2.791,65.714,+1.714
10,9,61.00,"[(64, 32), (128, 6)]",28.082,29.855,25.665,50.000,61.529,-2.751,61.529,+0.529
11,10,60.00,"[(64, 2), (128, 2)]",25.560,27.295,24.179,50.000,59.246,-3.143,59.246,-0.754
12,11,56.00,"[(64, 32), (128, 5)]",24.296,25.862,22.392,50.000,57.906,-2.752,57.906,+1.906
13,12,53.00,"[(64, 1)]",28.572,30.409,26.411,50.000,62.006,-2.886,62.006,+9.006
14,13,49.00,"[(64, 32), (128, 4)]",18.696,19.931,17.511,50.000,51.759,-2.665,51.759,+2.759
15,14,47.00,"[(64, 2), (128, 1)]",16.124,17.243,15.766,50.000,48.565,-2.826,48.565,+1.565
16,15,39.00,"[(64, 32), (128, 3)]",12.057,12.874,11.613,50.000,42.572,-2.438,42.572,+3.572
17,16,38.00,"[(64, 3), (128, 1)]",10.635,11.388,10.694,50.000,40.226,-2.563,40.226,+2.226
18,17,37.00,"[(64, 2)]",12.224,13.083,12.218,50.000,42.888,-2.650,42.888,+5.888
19,18,29.00,"[(64, 3)]",6.982,7.472,7.212,50.000,32.858,-2.183,32.858,+3.858
20,19,26.00,"[(64, 32), (128, 2)]",6.159,6.569,6.165,50.000,30.805,-1.878,30.805,+4.805
21,20,25.00,"[(64, 4)]",5.727,6.124,5.944,50.000,29.723,-1.991,29.723,+4.723
22,21,21.00,"[(64, 5)]",4.633,4.939,4.825,50.000,26.561,-1.677,26.561,+5.561
23,22,20.00,"[(64, 6)]",3.887,4.138,4.052,50.000,24.124,-1.509,24.124,+4.124
24,23,18.00,"[(64, 8)]",3.122,3.308,3.268,50.000,21.238,-1.147,21.238,+3.238
25,24,16.00,"[(64, 10)]",2.669,2.826,2.784,50.000,19.335,-1.046,19.335,+3.335
26,25,15.00,"[(64, 32), (128, 1)]",2.967,3.143,3.063,50.000,20.606,-1.096,20.606,+5.606
27,26,15.00,"[(64, 12)]",2.513,2.658,2.618,50.000,18.618,-0.979,18.618,+3.618
